"","id","p_value","significant"
"366","AT1G06470","0.378902247849863","FALSE"
"367","AT1G06475","0.064002033200004","FALSE"
"368","AT1G06490","0.0465462010714637","TRUE"
"369","AT1G06500","0.0240524006231257","TRUE"
"370","AT1G06510","0.782113706964056","FALSE"
"371","AT1G06515","0.874386113060763","FALSE"
"372","AT1G06520","0.00429101136687199","TRUE"
"373","AT1G06530","0.561390724420469","FALSE"
"374","AT1G06550","0.653530995025055","FALSE"
"375","AT1G06560","0.0140489189426627","TRUE"
"376","AT1G06570","0.00206927056753874","TRUE"
"377","AT1G06590","0.117804890231062","FALSE"
"378","AT1G06620","1.02605574247114e-232","TRUE"
"379","AT1G06630","0.755785988486664","FALSE"
"380","AT1G06640","0.385332053181563","FALSE"
"381","AT1G06645","0.738705006895771","FALSE"
"382","AT1G06650","1.05385994888367e-05","TRUE"
"383","AT1G06670","0.478145323250866","FALSE"
"384","AT1G06680","1.31134931919303e-07","TRUE"
"385","AT1G06690","1.98943355657992e-08","TRUE"
"386","AT1G06700","0.518963982725756","FALSE"
"387","AT1G06710","0.243641789796513","FALSE"
"388","AT1G06720","0.183709418646465","FALSE"
"389","AT1G06730","0.00785485359607712","TRUE"
"390","AT1G06760","0.0277652538898121","TRUE"
"391","AT1G06770","0.888645029372304","FALSE"
"392","AT1G06780","0.00155901127415817","TRUE"
"393","AT1G06790","0.572028015267533","FALSE"
"394","AT1G06800","0.13884057980382","FALSE"
"395","AT1G06820","0.189513255460552","FALSE"
"396","AT1G06830","0.39969937478755","FALSE"
"397","AT1G06840","5.26362116431031e-05","TRUE"
"398","AT1G06850","0.385660016180993","FALSE"
"399","AT1G06870","0.469392042181041","FALSE"
"400","AT1G06890","0.000314963888798011","TRUE"
"401","AT1G06900","0.160231934795067","FALSE"
"402","AT1G06910","0.861772549740347","FALSE"
"403","AT1G06950","0.967888108442943","FALSE"
"404","AT1G06960","0.66226874958812","FALSE"
"405","AT1G06980","0.151970407874766","FALSE"
