"","X","id","p_value","significant","significant_fdr"
"5591",5591,"AT2G29670",0.745030909968965,TRUE,TRUE
"1074",1074,"AT1G16410",0.74506062861748,TRUE,TRUE
"6393",6393,"AT2G41120",0.74509389055954,TRUE,TRUE
"13393",13393,"AT5G11740",0.745360655998589,TRUE,TRUE
"16167",16167,"AT5G63020",0.745553272730015,TRUE,TRUE
"4626",4626,"AT2G07734",0.745632542181356,TRUE,TRUE
"12900",12900,"AT5G04230",0.745703820088221,TRUE,TRUE
"11438",11438,"AT4G22570",0.745734228454312,TRUE,TRUE
"13197",13197,"AT5G08550",0.745738355029556,TRUE,TRUE
"15899",15899,"AT5G58790",0.745858759708105,TRUE,TRUE
"10753",10753,"AT4G12080",0.74594133430949,TRUE,TRUE
"9845",9845,"AT3G58610",0.746076432596677,TRUE,TRUE
"8234",8234,"AT3G19780",0.746106005787479,TRUE,TRUE
"1600",1600,"AT1G24510",0.746164400381449,TRUE,TRUE
"10682",10682,"AT4G10810",0.746294425303273,TRUE,TRUE
"3680",3680,"AT1G71850",0.746443443505161,TRUE,TRUE
"14679",14679,"AT5G40330",0.74649035250362,TRUE,TRUE
"6431",6431,"AT2G41700",0.746710353641356,TRUE,TRUE
"16490",16490,"AT5G67240",0.746777372151319,TRUE,TRUE
"2179",2179,"AT1G35710",0.746792346368768,TRUE,TRUE
"14462",14462,"AT5G34665",0.747314474489806,TRUE,TRUE
"2694",2694,"AT1G53850",0.747321587126246,TRUE,TRUE
"12873",12873,"AT5G03740",0.747341367840244,TRUE,TRUE
"10044",10044,"AT3G61780",0.747407703679121,TRUE,TRUE
"8931",8931,"AT3G44300",0.747486633524879,TRUE,TRUE
"13676",13676,"AT5G16160",0.747600402220112,TRUE,TRUE
"1536",1536,"AT1G23330",0.747797935659894,TRUE,TRUE
"10568",10568,"AT4G08410",0.747910425553751,TRUE,TRUE
"5452",5452,"AT2G27530",0.747943146371783,TRUE,TRUE
"8147",8147,"AT3G18520",0.747987429116231,TRUE,TRUE
"10120",10120,"AT3G62970",0.748022202122892,TRUE,TRUE
"14915",14915,"AT5G43970",0.748051253202012,TRUE,TRUE
"13133",13133,"AT5G07760",0.748100736786119,TRUE,TRUE
"7376",7376,"AT3G07568",0.748154551470173,TRUE,TRUE
"12406",12406,"AT4G36290",0.74824225269199,TRUE,TRUE
"14430",14430,"AT5G28673",0.748257475959816,TRUE,TRUE
"4476",4476,"AT2G03640",0.748260246892219,TRUE,TRUE
"8998",8998,"AT3G45770",0.748394278581245,TRUE,TRUE
