"","X","id","p_value","significant","significant_fdr"
"9319",9319,"AT3G51340",1.72519987768418e-38,TRUE,FALSE
"16224",16224,"AT5G64040",2.46755472552413e-38,TRUE,FALSE
"12745",12745,"AT5G02160",4.81587939886273e-38,TRUE,FALSE
"8361",8361,"AT3G22060",4.98521529579482e-38,TRUE,FALSE
"1129",1129,"AT1G17290",5.04621472821062e-38,TRUE,FALSE
"13941",13941,"AT5G20020",5.6562873668224e-38,TRUE,FALSE
"7374",7374,"AT3G07680",9.08007481520634e-38,TRUE,FALSE
"7993",7993,"AT3G16530",9.9358548366355e-38,TRUE,FALSE
"8294",8294,"AT3G20820",1.40829412988817e-37,TRUE,FALSE
"13460",13460,"AT5G13200",2.6710474696422e-37,TRUE,FALSE
"9753",9753,"AT3G57280",2.77405449280374e-37,TRUE,FALSE
"1376",1376,"AT1G21120",5.20278001993336e-37,TRUE,FALSE
"963",963,"AT1G14870",6.81614188217446e-37,TRUE,FALSE
"6037",6037,"AT2G36380",7.96470723531181e-37,TRUE,FALSE
"14100",14100,"AT5G23060",8.17643249577198e-37,TRUE,FALSE
"16200",16200,"AT5G63780",1.93491375596776e-36,TRUE,FALSE
"11683",11683,"AT4G26370",2.21299627711817e-36,TRUE,FALSE
"2114",2114,"AT1G34000",2.62283099489399e-36,TRUE,FALSE
"16206",16206,"AT5G63850",3.06132557556234e-36,TRUE,FALSE
"12678",12678,"AT5G01100",3.24432637788802e-36,TRUE,FALSE
"6460",6460,"AT2G42220",4.63416040428945e-36,TRUE,FALSE
"6609",6609,"AT2G44370",4.79166237987629e-36,TRUE,FALSE
"9327",9327,"AT3G51450",5.91685524087851e-36,TRUE,FALSE
"4138",4138,"AT1G78460",5.94121404846832e-36,TRUE,FALSE
"3421",3421,"AT1G68010",9.88844633834273e-36,TRUE,FALSE
"13203",13203,"AT5G08790",1.12557094447703e-35,TRUE,FALSE
"11217",11217,"AT4G18950",1.30864926517809e-35,TRUE,FALSE
"8403",8403,"AT3G22620",1.3264555762012e-35,TRUE,FALSE
"1248",1248,"AT1G19150",1.54830255100858e-35,TRUE,FALSE
"15052",15052,"AT5G46350",1.80676027763581e-35,TRUE,FALSE
"13732",13732,"AT5G17170",1.92202923156408e-35,TRUE,FALSE
"10037",10037,"AT3G61870",2.19766751880749e-35,TRUE,FALSE
"12705",12705,"AT5G01540",2.2879868326234e-35,TRUE,FALSE
"7922",7922,"AT3G15570",3.34832812286421e-35,TRUE,FALSE
"8790",8790,"AT3G29034",5.32859796335543e-35,TRUE,FALSE
"1571",1571,"AT1G24145",5.3286391365628e-35,TRUE,FALSE
"9257",9257,"AT3G50480",6.48146645583907e-35,TRUE,FALSE
"6559",6559,"AT2G43570",1.05506968632543e-34,TRUE,FALSE
"3973",3973,"AT1G76100",1.39527591519287e-34,TRUE,FALSE
"5083",5083,"AT2G21330",2.39879522653917e-34,TRUE,FALSE
"2672",2672,"AT1G53625",3.24729015077521e-34,TRUE,FALSE
"3281",3281,"AT1G65690",3.67051617881372e-34,TRUE,FALSE
"5641",5641,"AT2G30550",5.52685505784899e-34,TRUE,FALSE
"1622",1622,"AT1G25400",6.06569617198846e-34,TRUE,FALSE
"3970",3970,"AT1G76070",6.45678621896705e-34,TRUE,FALSE
"919",919,"AT1G14345",6.94385277085134e-34,TRUE,FALSE
"12950",12950,"AT5G05190",8.85428943921591e-34,TRUE,FALSE
"12414",12414,"AT4G36670",1.19047165358303e-33,TRUE,FALSE
"13044",13044,"AT5G06570",1.31531635197533e-33,TRUE,FALSE
"9326",9326,"AT3G51440",1.66075148334931e-33,TRUE,FALSE
"6232",6232,"AT2G39210",1.88364505578667e-33,TRUE,FALSE
"3034",3034,"AT1G61560",1.91669750203231e-33,TRUE,FALSE
"3202",3202,"AT1G64510",4.92288584467313e-33,TRUE,FALSE
"14572",14572,"AT5G38420",5.9471410856004e-33,TRUE,FALSE
"4730",4730,"AT2G15390",7.14585864514596e-33,TRUE,FALSE
"14024",14024,"AT5G21920",1.15919604257857e-32,TRUE,FALSE
"14254",14254,"AT5G25260",1.23740436396379e-32,TRUE,FALSE
"12486",12486,"AT4G37640",1.27638162096758e-32,TRUE,FALSE
"1661",1661,"AT1G26420",1.35783240958486e-32,TRUE,FALSE
"14862",14862,"AT5G43450",2.22117691530981e-32,TRUE,FALSE
"5449",5449,"AT2G27660",4.42518683357249e-32,TRUE,FALSE
"9899",9899,"AT3G59700",6.43228861357834e-32,TRUE,FALSE
"4358",4358,"AT2G01590",8.4762594239857e-32,TRUE,FALSE
"12072",12072,"AT4G32020",9.13407769380682e-32,TRUE,FALSE
"990",990,"AT1G15260",1.70984895320841e-31,TRUE,FALSE
"11266",11266,"AT4G19810",1.77989978800476e-31,TRUE,FALSE
"6228",6228,"AT2G39140",1.85152888806385e-31,TRUE,FALSE
"4771",4771,"AT2G16430",1.86349698312203e-31,TRUE,FALSE
"3607",3607,"AT1G70700",2.38115077504198e-31,TRUE,FALSE
"10177",10177,"AT4G00330",2.64343629965151e-31,TRUE,FALSE
"3327",3327,"AT1G66580",2.98245800001677e-31,TRUE,FALSE
"15806",15806,"AT5G57887",4.81008618200944e-31,TRUE,FALSE
"6165",6165,"AT2G38310",6.3529717331698e-31,TRUE,FALSE
"13080",13080,"AT5G07100",1.20538325650009e-30,TRUE,FALSE
"5930",5930,"AT2G34860",1.45111475434126e-30,TRUE,FALSE
"3345",3345,"AT1G66920",1.68933593348108e-30,TRUE,FALSE
"6871",6871,"AT2G48070",1.739867967241e-30,TRUE,FALSE
"484",484,"AT1G08090",2.58862386658746e-30,TRUE,FALSE
"12986",12986,"AT5G05730",2.70110580207297e-30,TRUE,FALSE
"16259",16259,"AT5G64460",3.11837613177229e-30,TRUE,FALSE
"2259",2259,"AT1G44350",4.77785883342931e-30,TRUE,FALSE
"8377",8377,"AT3G22231",5.68887719603761e-30,TRUE,FALSE
"9022",9022,"AT3G46550",5.76827451953638e-30,TRUE,FALSE
"12043",12043,"AT4G31550",7.29868353660412e-30,TRUE,FALSE
"11579",11579,"AT4G24750",7.62682968418377e-30,TRUE,FALSE
"9270",9270,"AT3G50685",8.40312184852391e-30,TRUE,FALSE
"1043",1043,"AT1G15980",8.44692440406508e-30,TRUE,FALSE
"2531",2531,"AT1G51500",1.34471706836873e-29,TRUE,FALSE
"13914",13914,"AT5G19690",1.3937380345384e-29,TRUE,FALSE
"11117",11117,"AT4G17500",1.74853429340029e-29,TRUE,FALSE
"9954",9954,"AT3G60540",1.78716683278244e-29,TRUE,FALSE
"2643",2643,"AT1G53240",3.27748474260641e-29,TRUE,FALSE
"274",274,"AT1G05010",4.14807405407211e-29,TRUE,FALSE
"6343",6343,"AT2G40610",5.02846829605882e-29,TRUE,FALSE
"3341",3341,"AT1G66880",5.67352494692379e-29,TRUE,FALSE
"6610",6610,"AT2G44380",6.07039017542077e-29,TRUE,FALSE
"13514",13514,"AT5G13860",6.25177410117625e-29,TRUE,FALSE
"4856",4856,"AT2G17740",6.77534625068971e-29,TRUE,FALSE
"12310",12310,"AT4G35180",8.99963199815499e-29,TRUE,FALSE
"5258",5258,"AT2G24570",1.22868374111939e-28,TRUE,FALSE
"6255",6255,"AT2G39518",1.2924921596461e-28,TRUE,FALSE
"9650",9650,"AT3G55800",1.61164942646222e-28,TRUE,FALSE
"15186",15186,"AT5G48380",1.6953398829233e-28,TRUE,FALSE
"4857",4857,"AT2G17760",1.97185498445348e-28,TRUE,FALSE
"2546",2546,"AT1G51680",2.44787575639275e-28,TRUE,FALSE
"5516",5516,"AT2G28605",3.0382975903217e-28,TRUE,FALSE
"15705",15705,"AT5G56350",3.24614962540083e-28,TRUE,FALSE
"426",426,"AT1G07230",3.35048724794634e-28,TRUE,FALSE
"16390",16390,"AT5G66070",3.70721500811906e-28,TRUE,FALSE
"12121",12121,"AT4G32650",4.95061824435161e-28,TRUE,FALSE
